price, sqft
1809, 829
1553, 612
2501, 1126
1915, 811
2429, 1031
2392, 1031
2024, 945
2212, 900
1785, 652
1835, 727
1820, 652
2346, 1031
3305, 1354
1852, 659
1801, 659
2812, 1347
1832, 756
1727, 714
2193, 1030
1820, 714
1840, 734
1820, 714
3291, 1548
2392, 1031
2392, 1031
2075, 652
2900, 1162
2293, 900
1840, 734
2768, 1287
2829, 1324
1935, 727
1820, 714
2392, 1031
1865, 756
2407, 1031
2672, 1162
2683, 1084
2307, 946
2652, 1170
3076, 1325
1790, 659
2698, 1074
1884, 803
1890, 756
1840, 734
3051, 1325
2698, 1074
2307, 946
1865, 728
2788, 1037
3086, 1347
3086, 1347
2655, 1162
2708, 1084
2630, 1162
2755, 1286
2755, 1286
2985, 1265
2755, 1286
2695, 1170
2040, 734
3084, 1590
2557, 1354
3326, 1354
2102, 1170
2426, 1030
1943, 860
2075, 749
1694, 749
2367, 1170
2350, 1170
2154, 1170
2389, 1170
2358, 1084
0, 749
3036, 2085
3848, 1347
1525, 1198
2185, 1198
2332, 1198
1444, 728
1675, 728
1821, 803
1849, 803
1691, 803
1311, 756
1542, 756
1879, 756
2000, 714
1570, 714
2038, 714
1532, 714
1416, 652
1753, 652
1243, 652
1549, 652
1334, 652
1549, 652
1649, 652
1503, 652
2052, 652
2039, 652
1596, 652
1493, 652
1794, 652
1753, 652
2964, 1548
3193, 1548
4188, 1548
2407, 1198
1996, 1198
2363, 1162
2108, 1162
1493, 1162
1986, 1162
2452, 1084
2028, 1084
2485, 1084
1446, 1062
1980, 1062
0, 1062
2103, 946
2238, 946
0, 946
1961, 946
1922, 946
1960, 946
1764, 946
1260, 734
1575, 727
1995, 727
1870, 795
1614, 795
2101, 946
1961, 946
1953, 946
2080, 946
1868, 946
2433, 946
1919, 1084
2569, 1084
2574, 1084
2269, 1084
2139, 1084
1789, 1084
2392, 1084
2074, 1084
1677, 1084
2323, 1084
2324, 1084
2333, 1084
2848, 1084
2356, 1162
0, 1162
2374, 1162
2139, 1162
2540, 1162
1627, 1162
1781, 1162
0, 1162
2166, 1162
1888, 1162
2242, 1198
2064, 1325
2486, 1325
1267, 652
1639, 652
1687, 811
1838, 948
1854, 948
2424, 948
2404, 948
1934, 1074
2070, 1074
1906, 1074
2199, 1074
2398, 1074
1848, 1074
1993, 1074
2447, 1074
0, 1074
2826, 1074
1827, 1074
2443, 1126
2450, 1074
2425, 1074
2177, 1170
2300, 1170
2875, 1347
2616, 1347
2257, 1347
3071, 1347
2265, 1347
2614, 1347
2925, 1347
3102, 1347
2777, 1281
3017, 1281
2459, 1281
1020, 612
0, 612
1024, 612
1669, 945
2240, 945
2023, 945
1816, 945
1871, 945
1791, 945
1846, 945
1470, 945
2049, 945
